City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,zaplavnoye,48.7048,45.0229,17.51,88,78,10.74,RU,1675711072
336,vanavara,60.34,102.2797,-13.45,100,100,3.0,RU,1675711072
337,champerico,14.3,-91.9167,93.74,63,10,11.48,GT,1675711073
338,pangai,-19.8,-174.35,80.08,77,65,19.8,TO,1675711074
339,husavik,66.0449,-17.3389,30.52,74,44,18.37,IS,1675711074
340,mapimi,25.8167,-103.85,78.37,12,7,4.72,MX,1675711075
341,touros,-5.1989,-35.4608,83.48,66,5,13.51,BR,1675710599
342,venado tuerto,-33.7456,-61.9688,99.48,14,0,6.22,AR,1675711076
343,palmerston north,-40.35,175.6167,66.06,90,71,4.0,NZ,1675711078
344,bathsheba,13.2167,-59.5167,83.01,65,40,20.71,BB,1675711079
345,dingle,10.9995,122.6711,74.53,92,54,7.16,PH,1675711081
346,kisangani,0.5167,25.2,75.79,68,98,3.2,CD,1675711082
347,inta,66.0317,60.1659,0.01,97,100,7.85,RU,1675710899
348,veriora,58.0079,27.3551,24.49,94,65,5.41,EE,1675711085
349,asau,46.4333,26.4,24.28,92,81,6.02,RO,1675711086
350,lagoa,39.05,-27.9833,55.87,71,96,28.19,PT,1675711087
351,laguna,38.421,-121.4238,57.15,68,0,12.66,US,1675711088
